dtitle,author,publisher,publishDate,imageUrl,idBook,pages,language,isValid,price,rating,description,stock,category,idUser,issold
"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,Perennial,1999,http://images.amazon.com/images/P/0060930365.01.LZZZZZZZ.jpg,86,495,Spanish,APPROVED,24.11,1,Old more south billion decade. Small suggest ahead.,29,SELF_HELP,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Standing Firm: A Vice-Presidential Memoir,Dan Quayle,Harpercollins,1994,http://images.amazon.com/images/P/0060177586.01.LZZZZZZZ.jpg,87,899,English,APPROVED,14.52,1,Media control open consumer camera way. Choose quality push power past. Draw apply avoid necessary trade. Fire power left hard.,74,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,McGraw-Hill,2003,http://images.amazon.com/images/P/0071416331.01.LZZZZZZZ.jpg,88,483,French,APPROVED,31.14,2,"Firm draw magazine drug performance style. Build focus hot glass most the.
Sea father fear million. Magazine simple east remain appear.",68,YOUNG_ADULT,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,Random House,2003,http://images.amazon.com/images/P/0375509038.01.LZZZZZZZ.jpg,89,833,French,APPROVED,42.15,1,Study so market guess knowledge industry education. Tree seek understand high article. System professor push model.,29,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Daybreakers Louis Lamour Collection,Louis Lamour,Bantam Doubleday Dell,1981,http://images.amazon.com/images/P/0553062042.01.LZZZZZZZ.jpg,90,433,Spanish,APPROVED,35.06,3,Attorney series effort more. Side body western into form story seat.,16,MYSTERY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
The Catcher in the Rye,J.D. Salinger,"Little, Brown",1991,http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg,91,749,French,APPROVED,13.96,4,Hundred marriage box next suggest I air direction. Marriage wish herself suggest figure commercial. Position weight interest.,17,ROMANCE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,Minotauro,2001,http://images.amazon.com/images/P/8445071408.01.LZZZZZZZ.jpg,92,989,English,APPROVED,10.5,2,Manager another would similar five sea. Practice sound discover actually against modern. Activity few reach list about.,67,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,Minotauro,2001,http://images.amazon.com/images/P/8445071769.01.LZZZZZZZ.jpg,93,632,French,APPROVED,47.44,4,Partner especially collection traditional sort determine goal. Market discover pressure stock hit. North parent international many.,44,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,Distribooks,2001,http://images.amazon.com/images/P/8445071777.01.LZZZZZZZ.jpg,94,529,English,APPROVED,17.7,5,Walk pull beautiful enjoy. Such range road though job.,59,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,Random House,1994,http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg,95,543,English,APPROVED,16.74,3,Interview responsibility test fall. Explain season worker her should early. Quickly agree relationship thought group challenge.,8,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Pretend You Don't See Her,Mary Higgins Clark,Pocket,1998,http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg,96,956,French,APPROVED,31.83,5,Source strong parent next later score section. Effort choice wrong account director Democrat.,89,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Fast Women,Jennifer Crusie,St. Martin's Press,2001,http://images.amazon.com/images/P/0312252617.01.LZZZZZZZ.jpg,97,430,English,APPROVED,47.4,3,Know member perhaps information great him me article. Republican price adult help probably decision.,99,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Female Intelligence,Jane Heller,St. Martin's Press,2001,http://images.amazon.com/images/P/0312261594.01.LZZZZZZZ.jpg,98,198,French,APPROVED,23.91,4,"Its though president team. Audience wish popular security do choice yourself.
Break order too car discuss lead attack.",83,BIOGRAPHY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,Back Bay Books,2002,http://images.amazon.com/images/P/0316748641.01.LZZZZZZZ.jpg,99,649,English,APPROVED,8.28,4,White best authority smile. American last executive these. Probably event increase condition treatment president allow.,76,HISTORICAL_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
The Gospel of Judas: A Novel,Simon Mawer,Back Bay Books,2002,http://images.amazon.com/images/P/0316973742.01.LZZZZZZZ.jpg,100,581,English,APPROVED,42.51,2,"Color physical receive service bar hard push. Bag once investment rise measure shoulder.
Wish yeah say can most. Even guess so fly else method mouth.",7,YOUNG_ADULT,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
"Prize Stories, 1987: The O'Henry Awards",William Abrahams,Doubleday Books,1987,http://images.amazon.com/images/P/0385235941.01.LZZZZZZZ.jpg,101,217,English,APPROVED,16.35,1,"Mrs call save may. Speech them next eight agency. I program cultural film.
War above door paper good same popular.",31,HISTORICAL_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,Warner Books,2000,http://images.amazon.com/images/P/0446677450.01.LZZZZZZZ.jpg,102,543,Spanish,APPROVED,49.78,4,Assume himself year call so kid. Get already daughter itself in also represent. Will arm must economy save.,94,YOUNG_ADULT,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
The Pillars of the Earth,Ken Follett,Signet Book,1996,http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg,103,131,English,APPROVED,18.17,3,Fund executive foreign miss. Economy blue head. Identify interview room Democrat.,62,NON_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
McDonald's: Behind the Arches,John F. Love,Bantam,1995,http://images.amazon.com/images/P/0553347594.01.LZZZZZZZ.jpg,104,333,English,APPROVED,48.14,2,But view police. Star table international half on goal present. Cover seat surface.,39,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,Fireside,1986,http://images.amazon.com/images/P/0671621009.01.LZZZZZZZ.jpg,105,595,Spanish,APPROVED,24.27,1,Course water them guess financial off. Will good three glass nice choice from. Pass after put enough player one game.,92,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,Vintage,1995,http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg,106,423,English,APPROVED,44.5,3,"Within alone leader thus week how particular position. More sort heart media. Wind fly Mrs quite choose.
Wish off field personal cover.",45,BIOGRAPHY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",Pam Proctor,Fireside,1996,http://images.amazon.com/images/P/0684822733.01.LZZZZZZZ.jpg,107,431,French,APPROVED,5.25,5,"Can hear else good only remain billion.
Suddenly catch movement also. Weight billion money common.
Woman scientist focus through work out.",18,SELF_HELP,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
The Five People You Meet in Heaven,Mitch Albom,Hyperion,2003,http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg,108,878,Spanish,APPROVED,31.03,4,Two nor everyone your general Congress sport. Walk himself shoulder save fill.,3,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Irene Gonzalez Frei,Tusquets,2002,http://images.amazon.com/images/P/8472238822.01.LZZZZZZZ.jpg,109,330,English,APPROVED,21.91,5,"From at writer event strong. Late across let lawyer.
Be real hope nothing institution give point. Born understand stage recent large head them wife.",36,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Relics (Star Trek: The Next Generation),Michael Jan Friedman,Star Trek,1992,http://images.amazon.com/images/P/0671864769.01.LZZZZZZZ.jpg,110,349,English,APPROVED,22.3,1,"Plant thought arm. Hair discover will next hotel level.
Research pull contain and approach affect consumer.
Heart set since.",56,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,Pocket,1995,http://images.amazon.com/images/P/0671521519.01.LZZZZZZZ.jpg,111,689,Spanish,APPROVED,48.35,4,Want good pull image after because free. Arrive season home natural air they body.,94,SELF_HELP,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",Neal Barrett Jr.,Dell,1996,http://images.amazon.com/images/P/0440222303.01.LZZZZZZZ.jpg,112,681,French,APPROVED,24.27,1,Country east size industry store drive. Admit less drive oil future. Establish ability number determine half.,1,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Blood Oath,David Morrell,St. Martin's Press,1994,http://images.amazon.com/images/P/0312953453.01.LZZZZZZZ.jpg,113,554,English,APPROVED,25.95,1,Congress carry ground go my public. Memory there offer project successful beautiful seven. Scene range suddenly piece.,59,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
The Alibi,Sandra Brown,Warner Books,2000,http://images.amazon.com/images/P/0446608653.01.LZZZZZZZ.jpg,114,720,Spanish,APPROVED,44.72,4,Bit law into chair join program. In realize ask laugh western. Very especially interest she break design across. Ball result focus stand call.,52,BIOGRAPHY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
The Beach House,James Patterson,Warner Books,2003,http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg,115,638,English,APPROVED,15.52,4,Price of social north kind. Charge foreign article major. Media entire firm.,30,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
A Kiss Remembered,Sandra Brown,Warner Books,2003,http://images.amazon.com/images/P/0446612618.01.LZZZZZZZ.jpg,116,957,French,APPROVED,30.07,4,"Level move anyone near everyone. Table believe so gas drug.
Term night member. Question large when never mission first.",99,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
The Short Forever,Stuart Woods,Signet Book,2003,http://images.amazon.com/images/P/0451208080.01.LZZZZZZZ.jpg,117,241,English,APPROVED,7.6,2,Business usually mention for herself name. Protect beat law television.,6,HISTORICAL_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Dead Aim,IRIS JOHANSEN,Bantam Books,2004,http://images.amazon.com/images/P/0553584383.01.LZZZZZZZ.jpg,118,412,French,APPROVED,28.96,3,Education magazine pick good ten choice. Light wide poor standard begin dream. Choose leg social door establish old chance mention.,13,BIOGRAPHY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Angels &amp; Demons,Dan Brown,Pocket Star,2001,http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg,119,405,French,APPROVED,19.67,4,"Discuss certain growth son. Wait city couple stay prevent audience.
Religious discuss certainly above community security hand.",44,MYSTERY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
The Deal,Joe Hutsko,Tor Books (Mm),2000,http://images.amazon.com/images/P/0812575954.01.LZZZZZZZ.jpg,120,458,Spanish,APPROVED,43.1,2,Year meet certain feel health hand assume former. Reach hospital vote role.,86,SELF_HELP,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
All He Ever Wanted: A Novel,Anita Shreve,Back Bay Books,2004,http://images.amazon.com/images/P/0316735736.01.LZZZZZZZ.jpg,121,408,French,APPROVED,42.19,3,Building environment yes system support. Step the perhaps.,51,BIOGRAPHY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,Pocket,2002,http://images.amazon.com/images/P/0743439740.01.LZZZZZZZ.jpg,122,123,French,APPROVED,49.41,5,Should away task water person soon. Out difference follow entire different.,30,ROMANCE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",LEWIS GRIZZARD,Ballantine Books,1991,http://images.amazon.com/images/P/0345372700.01.LZZZZZZZ.jpg,123,991,French,APPROVED,20.43,5,Most vote hope city might tell of wall. Happen federal including step become tonight industry owner.,51,YOUNG_ADULT,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
The Mosquito Coast,Paul Theroux,Harper Mass Market Paperbacks (Mm),1990,http://images.amazon.com/images/P/0380619458.01.LZZZZZZZ.jpg,124,126,Spanish,APPROVED,25.26,4,Better a dog throw specific both. People range successful still. Line medical enjoy generation including.,79,MYSTERY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
"If Love Were Oil, I'd Be About a Quart Low",Lewis Grizzard,Warner Books (Mm),1994,http://images.amazon.com/images/P/0446325805.01.LZZZZZZZ.jpg,125,392,English,APPROVED,43.03,1,Four investment the hair even develop by. Hit face list police attention outside country memory. Quite wonder result whether five.,45,MYSTERY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",Charles Hickey,Onyx Books,1996,http://images.amazon.com/images/P/0451406923.01.LZZZZZZZ.jpg,126,605,Spanish,APPROVED,17.11,2,Stop commercial worry. Street recently than field surface. Else candidate impact actually.,13,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
The Girl Who Loved Tom Gordon,Stephen King,Pocket,2000,http://images.amazon.com/images/P/0671042858.01.LZZZZZZZ.jpg,127,669,Spanish,APPROVED,17.45,2,Majority lead charge sense factor. Door under man field.,86,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,Free Press,2003,http://images.amazon.com/images/P/0743249992.01.LZZZZZZZ.jpg,128,807,English,APPROVED,18.68,1,"Anyone data everyone.
Management adult yard expert. Baby television start community sing star experience.",51,HISTORICAL_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,Thomas Nelson Inc,1992,http://images.amazon.com/images/P/0840734530.01.LZZZZZZZ.jpg,129,148,Spanish,APPROVED,36.21,4,"Generation plan arm choose drop.
Century weight bit price voice cell. Popular prove military of future. Toward month car season.",62,SELF_HELP,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
The Sum of All Fears,Tom Clancy,Berkley Publishing Group,2002,http://images.amazon.com/images/P/0425184226.01.LZZZZZZZ.jpg,130,307,French,APPROVED,11.71,1,"Traditional new provide case. Foot organization away sound.
Night huge sort ask person father. On least firm environmental food.",13,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,Random House,1999,http://images.amazon.com/images/P/0375500766.01.LZZZZZZZ.jpg,131,324,French,APPROVED,30.17,3,Author year source fact former building. President lose summer. Scene character sure term pretty leg difficult. Back capital exist employee.,74,ROMANCE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
O Deus Das Pequenas Coisas,Roy,Edicoes Asa,1998,http://images.amazon.com/images/P/9724119378.01.LZZZZZZZ.jpg,132,343,French,APPROVED,21.17,1,Production difficult scene service very simply. Past mention girl admit in civil attack.,39,ROMANCE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Lady in Green/Minor Indiscretions (Signet Regency Romance),Barbara Metzger,Signet Book,2002,http://images.amazon.com/images/P/0451205197.01.LZZZZZZZ.jpg,133,647,Spanish,APPROVED,19.39,1,"Visit soon let late various half ground. Weight wait eight although reflect.
Much heavy behavior. American cup born concern order movie city learn.",77,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
One Hundred Years of Solitude,Gabriel Garcia Marquez,Perennial,1998,http://images.amazon.com/images/P/0060929790.01.LZZZZZZZ.jpg,134,700,English,APPROVED,44.04,2,"Reflect as father air. Adult body power box receive project.
Understand nice carry professor. See everyone story idea hope.",69,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Little Altars Everywhere: A Novel,Rebecca Wells,Perennial,1996,http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg,135,766,Spanish,APPROVED,7.93,5,"Leader generation reality store. Daughter election value professional account care.
Perhaps generation light.",95,SELF_HELP,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,HarperTorch,1992,http://images.amazon.com/images/P/0061099325.01.LZZZZZZZ.jpg,136,671,Spanish,APPROVED,6.11,4,According nation again game. Bed season five understand give perhaps model. Authority foot personal almost.,83,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Before I Say Good-Bye,Mary Higgins Clark,Pocket,2001,http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg,137,627,English,APPROVED,40.68,2,Western yeah leg necessary catch bag military Democrat. Forget trouble tend indicate voice pass apply go.,99,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Slow Waltz in Cedar Bend,Robert James Waller,Warner Books,1994,http://images.amazon.com/images/P/0446601640.01.LZZZZZZZ.jpg,138,506,English,APPROVED,28.16,3,Machine him involve dream Mr. Professor occur ability hold.,33,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),Rachel Harris,Pan Macmillan,2001,http://images.amazon.com/images/P/0330484516.01.LZZZZZZZ.jpg,139,646,Spanish,APPROVED,17.63,5,Week call prove newspaper sport thousand nation. Light present fish student. Total act miss.,90,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Atonement : A Novel,IAN MCEWAN,Anchor,2003,http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg,140,999,French,APPROVED,33.62,3,Pull without drive forget something seat. Approach body laugh mean especially poor card.,21,BIOGRAPHY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Next: The Future Just Happened,Michael Lewis,W.W. Norton &amp; Company,2001,http://images.amazon.com/images/P/0393020371.01.LZZZZZZZ.jpg,141,105,French,APPROVED,35.48,2,"Study end admit different available. Alone suddenly election.
Behavior push turn may less call project. Amount happen become attention improve.",61,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
The Angelic Darkness,Richard Zimler,Arcadia Books,1999,http://images.amazon.com/images/P/1900850303.01.LZZZZZZZ.jpg,142,539,Spanish,APPROVED,49.53,4,Two station thought with off prove. Floor research new challenge me.,24,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
The Soulbane Stratagem,Norman Jetmundsen,"John Hunt Publishing, Ltd.",2000,http://images.amazon.com/images/P/1903019699.01.LZZZZZZZ.jpg,143,891,French,APPROVED,10.59,5,Hair civil beat form make may. Blood bank state watch space partner dinner.,85,MYSTERY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Gangster,Lorenzo Carcaterra,Fawcett Books,2002,http://images.amazon.com/images/P/0345425294.01.LZZZZZZZ.jpg,144,761,English,APPROVED,35.35,1,Better shoulder politics return continue painting interest the. According old go. Before example difference table speak.,96,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Hush,Anne Frasier,Onyx Books,2002,http://images.amazon.com/images/P/0451410319.01.LZZZZZZZ.jpg,145,111,English,APPROVED,39.03,1,"Animal effect night around this. Tough there line that people economic thank. Just model walk military message.
Whole none director.",90,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,Bantam Books,2002,http://images.amazon.com/images/P/0553583468.01.LZZZZZZZ.jpg,146,103,Spanish,APPROVED,38.94,2,"Ten mind race former. Evening once him pick leg off none.
A name easy bar talk. Fear they hospital those mother.",62,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Temor y Temblor,Soren Kierkegaard,Alianza,2001,http://images.amazon.com/images/P/8420639133.01.LZZZZZZZ.jpg,147,841,French,APPROVED,36.03,4,Suffer guy can choose. Explain be thought difference. Brother light picture kitchen.,61,NON_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Estudios sobre el amor,Jose Ortega Y Gaset,Downtown Book Center,2001,http://images.amazon.com/images/P/8476409419.01.LZZZZZZZ.jpg,148,199,French,APPROVED,32.01,5,Say rise begin conference second. Appear couple appear create whom future its. Exist similar house.,3,NON_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Rebecca,Daphne Du Maurier,Avon,1994,http://images.amazon.com/images/P/0380778556.01.LZZZZZZZ.jpg,149,947,Spanish,APPROVED,29.86,4,Site social with follow just. Identify lead enter identify read. Movie pattern threat water police.,98,MYSTERY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Scarlet Letter,Nathaniel Hawthorne,Signet Book,1993,http://images.amazon.com/images/P/0451525221.01.LZZZZZZZ.jpg,150,854,English,APPROVED,29.14,1,Begin recently Democrat may. Something blood artist road. Thousand fly treatment adult.,68,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Keep It Simple: And Get More Out of Life,Nick Page,Trafalgar Square,1999,http://images.amazon.com/images/P/0002740230.01.LZZZZZZZ.jpg,151,101,English,APPROVED,41.04,2,"Doctor plant note treat. Left within thought among hair.
Several hair sister ago easy partner. Song after budget since business.",86,MYSTERY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Diary of a Mad Mom-To-Be,Laura Wolf,Delta,2003,http://images.amazon.com/images/P/0385336772.01.LZZZZZZZ.jpg,152,319,English,APPROVED,43.02,4,"Worry sister beautiful reason many. First Mr must culture item.
Data whatever system better five.
Ground go able.",49,BIOGRAPHY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Locked in Time (Laurel Leaf Books),LOIS DUNCAN,Laure Leaf,1986,http://images.amazon.com/images/P/0440949424.01.LZZZZZZZ.jpg,153,847,Spanish,APPROVED,12.19,1,Little however contain way available truth. Every remember speak fast.,38,ROMANCE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Contact,Susan Grant,Love Spell,2002,http://images.amazon.com/images/P/0505524996.01.LZZZZZZZ.jpg,154,971,Spanish,APPROVED,15.49,5,Hair nature election usually determine better understand. Current mission choice help kitchen situation. Fly enough light party in.,8,YOUNG_ADULT,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
The Brimstone Wedding,Barbara Vine,Penguin Books Ltd,1997,http://images.amazon.com/images/P/0140252800.01.LZZZZZZZ.jpg,155,641,English,APPROVED,36.14,5,"Road help four financial fall.
Top account cause election major card. State task human school. Television his character ability effect.",37,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
The Catswold Portal,Shirley Rousseau Murphy,Roc,1993,http://images.amazon.com/images/P/0451452755.01.LZZZZZZZ.jpg,156,970,French,APPROVED,34.0,5,And what gas film media note. Tv a east class movie before not another. Research specific choice far stop often unit.,47,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Through Wolf's Eyes (Wolf),Jane Lindskold,Tor Fantasy,2002,http://images.amazon.com/images/P/0812575482.01.LZZZZZZZ.jpg,157,909,Spanish,APPROVED,21.28,3,All stage listen mouth ability four. Can site can let laugh guy item town. Hold also can. Quality low war scientist traditional to drop.,15,YOUNG_ADULT,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Puerto Vallarta Squeeze,Robert James Waller,Warner Books,1995,http://images.amazon.com/images/P/044651747X.01.LZZZZZZZ.jpg,158,455,Spanish,APPROVED,18.27,1,If natural evening score. Line sister return. Staff region across.,36,SELF_HELP,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Tree Grows In Brooklyn,Betty Smith,Harpercollins Publisher,1988,http://images.amazon.com/images/P/0060801263.01.LZZZZZZZ.jpg,159,594,French,APPROVED,10.44,3,Stop bar man home PM particular enjoy. Over still policy already. Far work former remember term party its.,22,MYSTERY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,Avon Books,2001,http://images.amazon.com/images/P/0061030147.01.LZZZZZZZ.jpg,160,395,English,APPROVED,9.4,5,"True from answer around modern.
Agreement new year long type mother professional. Our may oil within financial sea morning.",84,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Snow Angels,Stewart O'Nan,Penguin Books,1995,http://images.amazon.com/images/P/0140250964.01.LZZZZZZZ.jpg,161,125,Spanish,APPROVED,39.08,3,Scientist not key. Sign where office analysis better end drop. Before region next must least best.,39,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Wish You Well,David Baldacci,Warner Books,2000,http://images.amazon.com/images/P/0446527165.01.LZZZZZZZ.jpg,162,850,English,APPROVED,36.0,2,"Receive plan physical on coach. Him simple use law and.
Small first white inside. President million Republican need traditional material.",31,BIOGRAPHY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Pocket,1982,http://images.amazon.com/images/P/0671461494.01.LZZZZZZZ.jpg,163,431,French,APPROVED,7.38,4,"Two sister name choose tree.
Miss ahead show entire. Religious board fact there popular.",77,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Crow Lake (Today Show Book Club #7),Mary Lawson,Delta,2003,http://images.amazon.com/images/P/0385337639.01.LZZZZZZZ.jpg,164,324,French,APPROVED,19.81,4,"Leader notice similar significant. Hear give book receive security. Lot may attention attorney right wait.
Food understand natural window character.",44,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
My Antonia,Willa Cather,Mariner Books,1995,http://images.amazon.com/images/P/039575514X.01.LZZZZZZZ.jpg,165,150,Spanish,APPROVED,6.97,5,Stage like civil for while century economic. His necessary truth affect seek. Near TV right improve dog bag. Language despite trouble case.,21,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Pen Pals,Olivia Goldsmith,Signet Book,2002,http://images.amazon.com/images/P/0451206673.01.LZZZZZZZ.jpg,166,623,English,APPROVED,9.17,2,"Begin painting yeah. Figure blood side strong section. Fly price later name.
Talk others economic meeting federal grow you.",85,BIOGRAPHY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Bridget Jones's Diary,Helen Fielding,Picador (UK),1997,http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg,167,238,English,APPROVED,22.08,4,Money understand catch method. Think southern husband professor strategy ball. Machine eye understand provide lot lay form.,45,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Pride and Prejudice (Dover Thrift Editions),Jane Austen,Dover Publications,1995,http://images.amazon.com/images/P/0486284735.01.LZZZZZZZ.jpg,168,687,Spanish,APPROVED,16.77,1,Key art those. Whom why lay. Party special mouth test prove follow.,95,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
